a.  un; una .  
off-colour. descolorido; deste ido; indispuesto; pachucho; verde; subidodetono . 
offcut. trozo . 
offence. ofensa; esc ndalo; falta; delito; crimen; pecado . 
offend. atacar; acometer; ofender; ultrajar; delinquiroffend . 
against. pecarcontra . 
offender. ofensor; delincuente; culpable; infractor; pecador . 
offense. offence . 
offensive. ofensiva; insultante; ofensivo; injurioso; repugnante . 
offer. oferta; propuesta; ofrecimiento; ofrecer; presentar; brindar; hacer . 
offering. ofrenda . 
offhand. deimproviso; informal; brusco; descort s; sinceremonias . 
office. cargo; oficina . 
officer. oficial; polic a; agente; funcionario; ejecutivo . 
official. oficial; funcionario . 
officialdom. burocracia . 
officialese. lenguajeburocr tico . 
officiate. oficiar . 
officious. oficioso; sol cito; mand n . 
offing. altamar; lejan a; tobeinthe . 
offing. estaralavista . 
off-key. desafinado . 
off-kilter. malo . 
off-licence. almac ndelicores; comercioenelquesevendenbebidasalcoh licasparallevar . 
off-peak. fueradelashorasdemayorconsumooafluencia . 
off-putting. pocoatractivo; quequitalasganas; pocoamable; nadaamistoso . 
offset. contrarrestar; oponer; compensar . 
offshoot. reto o . 
offshore. maradentro; enunpara sofiscal . 
offside. fueradejuego . 
offspring. v stago; descendiente; cr a . 
offstage. entrebastidores; enoff . 
off-the-peg. confeccionado . 
off-the-wall. inesperado; hechodeimproviso; espont neo; nuevo . 
off-white. colorhueso; blancuzco . 
oft. often . 
often. frecuentemente; amenudo . 
oft-times. amenudo . 
 . 
ogle. echarmiradasamorosas; comerseconlosojos . 
ogre. ogro . 
oil. aceite; petr leo; lubricar . 
oilcan. aceitera . 
oilcloth. hule; encerado . 
oil-sick. mareanegra . 
oilskin. hule; encerado . 
oily. aceitoso; grasiento; empalagoso; lisonjero . 
ointment. pomada; ung ento . 
okay. deacuerdo . 
okey-dokey. deacuerdo; vale . 
okra. quimbombo; plantaherb ceadelafamiliadelasmalv ceasqueseempleacomotextil . 
old. viejo; antiguo; desiempre . 
olden. antiguo . 
old-fashioned. anticuado . 
oldie. melod adeayer; chisteolvidado . 
oldster. viejo . 
old-timer. veterano; viejo . 
old-world. delantiguomundo . 
oleander. adelfa . 
oligarchy. oligarqu a . 
olive. aceituna; oliva; verdeoliva . 
olympic. ol mpico . 
ombre. tresillo; juegodelhombre . 
ombudsman. defensordelpueblo . 
omega. omega . 
omelette. tortillafrancesa . 
omen. presagio; ag ero; pron stico . 
ominous. siniestro; amenazador . 
omission. omisi n . 
omit. omitir; olvidar . 
omnibus. antolog a . 
omnipotence. omnipotencia . 
omnipotent. omnipotente . 
omniscience. omnisciencia . 
omniscient. omnisciente . 
on. a; sobre; en . 
onager. onagro . 
once. unavez; antes; at . 
once. deinmediato; enseguida . 
once-over. togivesomethingthe . 
once-over. echarunvistazo . 
oncet. once . 
oncological. oncol gico . 
oncology. oncolog a . 
oncoming. venidero . 
one. uno; un;  nico; mismo . 
one-liner. chistebreve . 
onerous. oneroso; pesado . 
oneself. unomismo; se . 
one-sided. unilateral . 
one-upmanship. artedeestablecerventajat cticafrenteaotrapersona . 
one-way. direcci n nica . 
 . 
onion. cebolla . 
onlooker. espectador . 
only. s lo; solamente;  nico; pero . 
onomatopoeia. onomatopeya . 
onomatopoeic. onomatop yico . 
onset. ataque,principio . 
onslaught. ataqueoembestidafuriosa; asalto . 
onto. en; sobre . 
onus. carga; responsabilidad . 
onward. adelante; haciaadelante . 
onyx.  nice . 
ooh. exclamarconplacer . 
ooze. fango; l gamo; escurrirse; manar; sudar; rezumar; filtrarse . 
opal.  palo . 
opaque. opaco; oscuro; incomprensible . 
open. abierto; sincero; vacante; expuesto; abrir; iniciar; inaugurar; outinthe . 
open. alraso,alairelibre,aldescubiertoopen . 
onto. daraopen . 
out. extenderse; ensancharse; desplegaropen . 
up. desarrollar; aumentar; abrir . 
open-air. alairelibre . 
opencast. cieloabierto . 
open-ended. abierto; sinplazofijo . 
opener. abridor . 
open-handed. generoso . 
opening. comienzo; apertura; estreno; inauguraci n; abertura; oportunidad . 
open-minded. sinprejuicios . 
open-plan. abierto; sintabiques . 
opera.  pera . 
opera-glasses. gemelosdeteatro . 
operate. funcionar; operar; manejar . 
operatic. oper stico . 
operation. operaci n; funcionamiento; manejo; intervenci n . 
operational. operativo . 
operative. envigor; importante; operario . 
operator. telefonista; operador . 
operetta. opereta . 
ophthalmologist. oftalm logo . 
ophthalmology. oftalmolog a . 
opinion. opini n; parecer; criterio . 
opinionated. obstinado; terco; categ rico . 
opium. opio . 
opponent. contrincante; adversario; oponente . 
opportune. oportuno . 
opportunist. oportunista . 
opportunity. oportunidad; ocasi n . 
oppose. oponersea . 
opposed. opuesto . 
opposing. contrario; adversario . 
opposite. contrario; opuesto; enfrentede . 
opposition. oposici n; resistencia; adversario; equipocontrario . 
 . 
oppress. oprimir; agobiar; deprimir . 
oppression. opresi n; agobio; depresi n . 
oppressive. opresivo; tir nico; agobiante; deprimente . 
oppressor. opresor . 
opt. optar; escogeropt . 
out. optarpornotomarparte; nodecidirseaparticipar . 
optative. optativo . 
optic.  ptico . 
optical.  ptico . 
optician.  ptico . 
optics.  ptica . 
optimal.  ptimo . 
optimism. optimismo . 
optimist. optimista . 
optimistic. optimista . 
optimization. optimizaci n . 
optimize. optimizar . 
optimum.  ptimo; mejor; m sfavorable . 
option. opci n; elecci n; alternativa . 
optional. facultativo; opcional; optativo . 
opulent. opulento . 
or. o . 
oral. oral . 
orange. naranja; naranjo . 
orangutan. orangut n . 
oration. discurso; alocuci n . 
orator. orador . 
orb. esfera; globo . 
orbit.  rbita; giraralrededorde . 
orchard. huerto; pomar; vergel . 
orchestra. orquesta; patiodebutacas . 
orchestral. orquestal . 
orchestrate. instrumentar; orquestar . 
orchid. orqu dea . 
ordain. ordenar; decretar . 
ordeal. pruebapenosa; experienciamuydura . 
order. pedido; mandato; orden; ordenar; pedir; in . 
order. enregla . 
ordered. ordenado; organizado . 
orderly. camillero; ordenanza; pac fico; obediente; disciplinado; met dico; enorden . 
ordinal. ordinal . 
ordinance. ordenanza; decreto . 
ordinary. comidap blicaaunpreciofijado; com n; ordinario; corriente; normal . 
ordination. ordenaci n . 
ordnance. artiller a . 
ordure. inmundicia . 
ore. mineral; mena . 
oregano. or gano . 
organ.  rgano . 
organ-grinder. organillero . 
organic. org nico . 
organism. organismo . 
 . 
organist. organista . 
organization. organizaci n; organismo . 
organize. organizar . 
organized. organizado; ordenado . 
orgasm. orgasmo . 
orgy. org a . 
oriel. mirador . 
orient. oriente; levante; orientar; familiarizar . 
oriental. oriental . 
orientate. orientarse . 
orientation. orientaci n . 
oriented. orientado . 
orifice. orificio . 
origami. papiroflexia . 
origin. descendencia; origen; procedencia . 
original. aut ntico; original; primero; inicial . 
originality. originalidad . 
originally. originalmente . 
originate. originarse . 
oriole. orop ndola . 
ormolu. broncedorado . 
ornament. adorno; ornamento . 
ornamental. ornamental; decorativo . 
ornate. recargado; elaborado . 
ornery. malhumorado; dif cil . 
ornithological. ornitol gico . 
ornithologist. ornit logo . 
ornithology. ornitolog a . 
orogeny. orog nesis . 
orotund. rotundo; sonoro . 
orphan. hu rfano; dejarhu rfano . 
orphanage. orfanato . 
orris. liriodeflorencia . 
orthodox. ortodoxo . 
orthodoxy. ortodoxiaorthopaedic, . 
orthopedic. ortop dicoorthopaedist, . 
orthopedist. ortopedista; ortopeda . 
oscillate. oscilar; fluctuar . 
oscillation. oscilaci n; fluctuaci n . 
osier. mimbre . 
osprey. pigargo . 
ossify. osificarse . 
ostensible. aparente; supuesto . 
ostentation. ostentaci n . 
ostentatious. ostentoso . 
ostler. mozodecuadra; palafrenero . 
ostracism. ostracismo . 
ostracize. condenaralostracismo . 
ostrich. avestruz . 
other. otro . 
otherwise. deotramanera; sino; delocontrario; apartedeeso . 
 . 
otitis. otitis . 
otter. nutria . 
ouch.  ay!, uy! . 
ought. aughtought . 
to. tenerque . 
ounce. onza; pizca . 
our. nuestro . 
ours. elnuestro . 
ourselves. nosotrosmismos; nos . 
oust. expulsar; desalojar; echar; desbancar; destituir . 
out. fuera; afuera; apagado; enflor; eliminado; equivocado; pasado; outand . 
out. cienporcien; firme; ac rrimo; consumado; outof . 
fear. pormiedoout . 
of. de; por; fuerade; sin . 
outage. apag n; corte . 
outback. despoblado; interior; campo . 
outbid. ofrecerm sque; pujarm saltoque . 
outboard. fueraborda . 
outbound. desalida . 
outbox. ganarenelboxeo . 
outbreak. estallido; explosi n; brote . 
outbuilding. dependencia; anexo . 
outburst. arranque; explosi n; arrebato . 
outcast. proscrito; marginado . 
outclass. sermuysuperiora . 
outcome. resultado; consecuencia; desenlace . 
outcrop. afloramiento; aflorar . 
outcry. grito; protestaclamorosa . 
outdated. anticuado; fuerademoda . 
outdid. pasadodeoutdo . 
outdistance. dejaratr s . 
outdo. exceder; superar; vencer; tooutdo . 
oneself. excederse . 
outdone. participiopasadodeoutdo . 
outdoors. fuera . 
outer. exterior . 
outermost. defuera; m sremoto; m sexterior; primero . 
outface. desafiar . 
outfield. partem slejanadelcampo . 
outfit. equipo; av os; traje; conjunto; organizaci n . 
outfitters. tiendadeconfecci n . 
outflank. flanquear; rebasar; superarent ctica; burlar . 
outflow. desag e . 
outgo. gastos . 
outgoing. saliente; extrovertido; abierto; adespachar;  . 
outgoings. gastos . 
outgrew. pasadodeoutgrow . 
outgrow. pas rseleaunoalgoconlosa os; serdemasiadomayorpara . 
outgrown. participiopasadodeoutgrow . 
outhouse. servicioexterior; anexo; dependencia . 
outing. excursi n; paseo . 
outlandish. estrafalario; extravagante . 
outlast. sobrevivir,durarm stiempoque . 
outlaw. proscrito; prohibir; declararilegal; prohibir . 
 . 
outlay. desembolso; gasto . 
outlet. salida; desag e; puntodeventa; tomadecorriente . 
outlier. algoqueest separadodeungrupoprincipal . 
outline. contorno; trazado; esbozo; bosquejo; resumen; bosquejar . 
outlive. sobrevivira . 
outlook. actitud; puntodevista; enfoque; perspectivadefuturo; previsi n; panorama . 
outlying. remoto; lejano; aislado; perif rico . 
outman. superarenn mero . 
outmanoeuvre. superarestrat gicamente . 
outmatch. aventajar . 
outmoded. anticuado; pasadodemoda . 
outnumber. enexceso; excederenn mero . 
out-of-date. anticuado; pasadodemoda; caducado . 
out-of-the-way. remoto; pococom n . 
outpace. dejaratr s . 
outpatient. pacienteexterno . 
outpost. puestoavanzado . 
outpour. efusi n; derramamiento; chorro . 
output. producci n; rendimiento; salida; impresi n; potencia . 
outrage. atrocidad; atropello; ultraje; indignaci n; esc ndalo; violentar; indignar . 
outraged. indignado; escandalizado . 
outrageous. indignante; atroz; terrible; monstruoso; escandaloso . 
outrageously. demodoescandaloso . 
outreach. pasarm sall de; exceder . 
outrider. escolta . 
outrigger. portarremosexterior . 
outrider. escolta . 
outrigger. portarremosexterior . 
outright. enseguida; enelacto; categ rico; completo; indiscutible; abiertamente . 
outrun. dejaratr s . 
outset. principio . 
outshine. eclipsar . 
outshone. pasadoyparticipiopasadodeoutshine . 
outside. exterior; fuera; afuera; atthe . 
outside. alosumooutside . 
of. apartede . 
outsider. forastero; extra o; caballoquenoesunodelosfavoritos . 
outsize. enorme; gigantesco; detallamuygrande . 
outskirts. afueras . 
outsmart. enga ar . 
outspoken. franco; abierto . 
outstanding. destacado; eminente; pendiente; porpagar; excepcional . 
outstay. quedarsem stiempo . 
outstretch. extender . 
outstretched. extendido . 
outstrip. adelantar; aventajar; superar; dejaratr s . 
outward. exterior; externo; visible; deida; superficial; aparente . 
outwardly. aparentemente; decaraalexterior . 
outwards. haciaafuera . 
outweigh. pesarm sque . 
outwit. enga arconastucia; serm slistoque . 
outworn. cansado; gastado; anticuado . 
 . 
oval.  valo; ovalado . 
ovary. ovario . 
ovate. ovalado . 
ovation. ovaci n . 
oven. horno . 
ovenproof. refractario . 
over. acabado; encima; m sde . 
overact. exagerar . 
overall. total; enconjunto; ensutotalidad; guardapolvo; bata;  . 
overalls. mono . 
overarm. conelbrazolevantadoporencimadelhombro . 
overate. pasadodeovereat . 
overawed. intimidado . 
overbalance. perderelequilibrio . 
overbear. oprimir; dominar; tiranizar . 
overbearing. desp tico; altanero; dominante . 
overblown. marchito; pasado; pomposo; pretencioso . 
overboard. porlaborda . 
overburden. sobrecargar; agobiar . 
overcame. pasadodeovercome . 
overcast. encapotado; cubierto; nublado . 
overcoat. abrigo; sobretodo . 
overcome. vencer; dominar; superar; agotar; abrumar . 
overconfidence. excesodeconfianza . 
overcook. cocerdemasiado . 
overcrowded. atestado; abarrotado; superpoblado . 
overcrowding. hacinamiento; masificaci n; superpoblaci n . 
overdid. pasadodeoverdo . 
overdo. usardemasiado; cocerdemasiado; exagerar . 
overdone. participiopasadodeoverdo . 
overdose. sobredosis . 
overdraft. descubierto; saldodeudor . 
overdrawn. descubierto . 
overdress. vestirsecondemasiadaelegancia . 
overdressed. vestidocondemasiadaelegancia . 
overdrive. superdirecta . 
overdue. atrasado; pasadodelplazodelpr stamo . 
overeager. demasiadoentusiasta; demasiadoansioso . 
overeat. comerdemasiado . 
overeaten. participiopasadodeovereat . 
overestimate. sobrestimar . 
overexcited. sobreexcitado . 
overexposed. sobreexpuesto . 
overfeed. sobrealimentar . 
overflow. rebosadero; desbordarse; rebosar . 
overgrown. cubiertodeplantas . 
overhang. alero; proyecci n; colgarporencimade . 
overhaul. repasogeneral; revisi n; revisar . 
overhead. gastosgenerales; enloalto; arriba . 
overhear. o rporcasualidad . 
overheard. pasadoyparticipiopasadodeoverhear . 
overheat. recalentarse . 
 . 
overhung. pasadoyparticipiopasadodeoverhang . 
overkill. exceso; excesodemedios . 
overland. portierra . 
overlap. coincidencia; solapar; cubrir; superponer . 
overlay. superposici n; capasuperpuesta . 
overleaf. aldorso . 
overload. sobrecargar . 
overlook. pasarporalto; notenerencuenta; dara . 
overlord. se or; jefesupremo . 
overly. muy; mucho; demasiado . 
overnight. todalanoche; denoche; delanochealama ana; overnight . 
bag. neceserdeviaje . 
overpass. pasosuperior; pasoadesnivel . 
overpopulated. superpoblado . 
overpopulation. superpoblaci n . 
overpower. predominar; abrumar; sofocar; dominar; apoderarsede . 
overpowering. abrumador . 
overpriced. demasiadocaro . 
overqualified. concualificacionesquesuperanlasexigidas . 
overran. pasadodeoverrun . 
overrate. sobrevalorar; sobreestimar . 
overreach. extralimitarse . 
overreact. reaccionardemasiado . 
overridden. participiopasadodeoverride . 
override. atropellar; desechar; supeditar; anular; desautorizar; importarm sque . 
overriding. primero; primordial . 
overripe. demasiadomaduro . 
overrode. pasadodeoverride . 
overrule. rechazar; desautorizar; desestimar; anular . 
overrun. sobrecoste; invadir; infestar; pasarporencima; atropellar; durarm sdeloprevisto . 
oversaw. pasadodeoversee . 
oversea. extranjero;  . 
overseas. ultramar . 
oversee. vigilar; supervisar . 
overseen. participiopasadodeoversee . 
oversensitive. hipersensible . 
overshadow. hacersombraa; empa ar; empeque ecer; eclipsar . 
overshoot. m sdeloprevisto; pasardelaraya; excederse . 
overshot. pasadoyparticipiopasadodeovershoot . 
oversight. descuido; equivocaci n . 
oversized. descomunal . 
oversleep. dormirdemasiado; quedarsedormido . 
overslept. pasadoyparticipiopasadodeoversleep . 
overspend. gastarm sdelacuenta . 
overspent. pasadoyparticipiopasadodeoverspend . 
overstate. exagerar . 
overstatement. exageraci n . 
overstep. exceder; traspasar . 
overstrung. sobreexcitado . 
oversubscribed. suscritoenexceso . 
overt. abierto; visible; manifiesto . 
overtake. alcanzar; recoger; adelantar; sobrepasar; rebasar . 
